Date,Price($),Open,High,Low,Volume,Change(%)
2022-05-12T00:00:00Z,27605.9,29073.4,30136.7,26500.5,392730,-5.03
2022-05-11T00:00:00Z,29068.2,31008,32113.6,27835.5,296900,-6.25
2022-05-10T00:00:00Z,31007.5,30098.2,32621.2,29831,235610,3.03
2022-05-09T00:00:00Z,30095,34041,34227,30095,268090,-11.64
2022-05-08T00:00:00Z,34060,35468,35497,33727,671050000,-3.97
2022-05-07T00:00:00Z,35468,36003,36119,34773,288860000,-1.5
2022-05-06T00:00:00Z,36009,36540,36646,35267,752840000,-1.46
2022-05-05T00:00:00Z,36544,39686,39833,36183,1040000000,-7.92
2022-05-04T00:00:00Z,39688,37717,40021,37660,691490000,5.22
2022-05-03T00:00:00Z,37718,38515,38647,37513,367210000,-2.07
2022-05-02T00:00:00Z,38514,38472,39134,38061,580790000,0.14
2022-05-01T00:00:00Z,38461,37642,38676,37397,276990000,2.15
2022-04-30T00:00:00Z,37650,38590,38776,37596,248220000,-2.41
2022-04-29T00:00:00Z,38581,39748,39919,38175,382900000,-2.94
2022-04-28T00:00:00Z,39748,39243,40382,38888,542390000,1.29
2022-04-27T00:00:00Z,39243,38113,39447,37869,426830000,2.96
2022-04-26T00:00:00Z,38113,40443,40770,37708,681470000,-5.72
2022-04-25T00:00:00Z,40427,39464,40599,38233,654600000,2.44
2022-04-24T00:00:00Z,39464,39434,39929,39033,283630000,0.12
2022-04-23T00:00:00Z,39418,39709,39973,39291,190600000,-0.73
2022-04-22T00:00:00Z,39709,40487,40792,39200,421300000,-1.91
2022-04-21T00:00:00Z,40482,41370,42969,39793,493050000,-2.14
2022-04-20T00:00:00Z,41368,41499,42203,40915,382840000,-0.33
2022-04-19T00:00:00Z,41503,40809,41746,40585,268280000,1.72
2022-04-18T00:00:00Z,40803,39700,41095,38577,484260000,2.77
2022-04-17T00:00:00Z,39703,40382,40599,39561,210010000,-1.68
2022-04-16T00:00:00Z,40382,40571,40691,40003,151310000,-0.44
2022-04-15T00:00:00Z,40560,39936,40850,39781,233090000,1.56
2022-04-14T00:00:00Z,39936,41133,41494,39585,294290000,-2.91
2022-04-13T00:00:00Z,41133,40072,41515,39581,406700000,2.63
2022-04-12T00:00:00Z,40078,39507,40678,39265,468270000,1.47
2022-04-11T00:00:00Z,39497,42144,42418,39202,608380000,-6.27
2022-04-10T00:00:00Z,42138,42760,43421,41884,255830000,-1.47
